SetToDash,Name,UsageCount,Guess,ActualPositionId
,"""General Electric"" kompaniýasy Global we möhüm müşderileriň işleri boýunça ýolbaşçy",1,review,07f05660-228d-4f81-86ed-08ded5cff1a6
,"""SCOPE OF SUPERVISION SERVICE""",1,,78aded04-475e-42f8-860b-08ded5cff1a6
,"- İş Geliştirme Genel Müdür Yardımcısı, Çalık Enerji",1,review,4bdd6839-6ae2-462a-9b56-08ded5cfb542
,/ QC İNSPEKTÖR  / BOP,1,review,e8e98400-3808-48fd-85b2-08ded5cff1a6
,1 216,1,,b6fba50f-7873-4ded-49d8-08ded3809e91
,110 kV kablo & ek montaj süpervizör,1,review,d0cee4f8-9f6e-44ef-8687-08ded5cff1a6
,110 kV kablo & ek montaj süpervizörler,1,review,d797395a-5bcc-4b4c-84bd-08ded5cff1a6
,1154-,1,,30c294c7-9200-4b4d-49e4-08ded3809e91
,1352-,1,,51b8db29-5779-40af-4a02-08ded3809e91
,140 -,1,,a57d8260-b342-4816-497a-08ded3809e91
,1968 -,1,,0eb3e0fc-4489-45f0-49e1-08ded3809e91
,2 043 -,1,,aa95f90e-f51d-4098-49e2-08ded3809e91
,2 274 -,1,,9b0a93fe-1a75-4386-4971-08ded3809e91
,2 486,1,,e1e3d075-a712-4af1-4a1e-08ded3809e91
,20 V DC & 48 V DC dağıtım panolarının devreye alma,1,review,90c258c3-c3ad-4083-871e-08ded5cff1a6
,2000082272 SAT No’lu NG GENERATOR montajı,1,,8c67dbdd-97b5-4f36-9b52-08ded5cfb542
,2008 -,1,,04c65516-1aa0-48e8-49f8-08ded3809e91
,209550-8-1-1226,1,,a158eb5f-44b9-4688-4982-08ded3809e91
,220 V DC we 48 V DC dağıtım panolarının devreye alma,1,review,c928860d-4e13-4a32-84fd-08ded5cff1a6
,2203-,1,,6ee0f2c0-e3b4-4e92-4a06-08ded3809e91
,2288-,1,,187facec-0bc8-4b18-49ff-08ded3809e91
,2296 -,1,,1163989b-f5f2-4d74-4a1d-08ded3809e91
,2326-,1,,cff92538-4c14-42c8-49e9-08ded3809e91
,243420-1-2-2000,1,,ac69ef60-a22a-4b9e-49ef-08ded3809e91
,259,1,,96b73f48-5612-44cb-496e-08ded3809e91
,2703 -,1,,dd8f9e76-0483-4caf-4998-08ded3809e91
,273,1,,c66ccfdc-3270-4ae3-49c9-08ded3809e91
,285-,1,,9ae7ec78-c124-4103-49b9-08ded3809e91
,2x16 MVA transformatörlerin ekspertizi,1,,dd626152-a8c9-4b17-86d7-08ded5cff1a6
,478,1,,f8aa1cd4-d520-46ec-49a2-08ded3809e91
,"500 kV, 3 fazlı, yağlı tip, değişken şönt reaktörün montaj ve devreye alma çalışmalarını",1,review,37d8c770-e0dd-4a69-85b1-08ded5cff1a6
,696 -,1,,408d8eca-fb20-436d-49ed-08ded3809e91
,785-,1,,9e1c3801-7ac8-4691-4a15-08ded3809e91
,873-,1,,c50bd9fb-1976-47cc-49be-08ded3809e91
